Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,Non Fiction,200,,,,,
The Litigators,John Grisham,4.4,6222,18,2011,Fiction,385,,,,,
The Official SAT Study Guide,The College Board,4.4,1201,40,2011,Non Fiction,1008,,,,,
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction,314,,,,,
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,Fiction,521,,,,,
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,Fiction,452,,,,,
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011,Non Fiction,499,,,,,
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction,283,,,,,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2011,Non Fiction,492,,,,,
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction,368,,,,,
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction,597,,,,,
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,272,,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,391,,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,380,,,,,
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,532,,,,,
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,579,,,,,
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,356,,,,,
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,356,,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,835,,,,,
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction,415,,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,300,,,,,
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,20,,,,,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,162,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,384,,,,,
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,325,,,,,
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,324,,,,,
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,398,,,,,
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,316,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,44,,,,,
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,232,,,,,
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,196,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Non Fiction,272,,,,,
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,Non Fiction,333,,,,,
Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,630,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2012,Non Fiction,175,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2012,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2012,Non Fiction,372,,,,,
The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,256,,,,,
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,Non Fiction,448,,,,,
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,503,,,,,
The Fault in Our Stars,John Green,4.7,50482,13,2012,Fiction,313,,,,,
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2012,Non Fiction,227,,,,,
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction,180,,,,,
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,Fiction,262,,,,,
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction,374,,,,,
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction,374,,,,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction,370,,,,,
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction,200,,,,,
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction,624,,,,,
The Official SAT Study Guide,The College Board,4.4,1201,40,2012,Non Fiction,1008,,,,,
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,Non Fiction,293,,,,,
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,Non Fiction,375,,,,,
The Racketeer,John Grisham,4.3,14493,18,2012,Fiction,340,,,,,
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,Fiction,406,,,,,
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,Fiction,224,,,,,
